,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,Uskudar,41.0565,29.05367,Entire home/apt,720,1,1,0.01,1,365
1,Besiktas,41.06984,29.04545,Entire home/apt,816,365,41,0.33,2,279
2,Beyoglu,41.03254,28.98153,Entire home/apt,233,30,13,0.19,1,289
3,Sisli,41.04471,28.98567,Hotel room,761,3,0,0.7097823980266056,19,365
4,Sariyer,41.09048,29.05559,Entire home/apt,823,3,0,0.7097823980266056,1,88
5,Beyoglu,41.04844,28.95254,Private room,343,3,0,0.7097823980266056,1,364
6,Beyoglu,41.0335,28.97626,Private room,768,1,1,0.01,1,365
7,Sisli,41.05382,28.99739,Private room,384,2,1,0.01,2,364
8,Beyoglu,41.02704,28.97588,Private room,473,1,0,0.7097823980266056,1,365
9,Beyoglu,41.03658,28.97213,Entire home/apt,459,30,38,0.48,3,364
10,Besiktas,41.04902,28.99829,Private room,514,1,0,0.7097823980266056,1,0
11,Beyoglu,41.02725,28.97718,Entire home/apt,453,5,46,0.39,6,180
12,Beyoglu,41.03089,28.98054,Private room,926,180,86,0.72,2,269
13,Beyoglu,41.03082,28.97958,Entire home/apt,322,5,22,0.95,2,91
14,Besiktas,41.06464,29.0358,Entire home/apt,514,3,9,0.08,6,360
15,Beyoglu,41.03467,28.98902,Private room,343,3,0,0.7097823980266056,1,365
16,Uskudar,41.03485,29.03155,Entire home/apt,459,3,12,0.13,3,365
17,Fatih,41.01717,28.96325,Private room,384,1,0,0.7097823980266056,1,365
18,Beyoglu,41.02752,28.97858,Entire home/apt,453,5,27,0.24,6,180
19,Beyoglu,41.0385,28.98189,Entire home/apt,233,28,16,0.16,4,364
20,Sisli,41.04693,28.98002,Entire home/apt,240,2,0,0.7097823980266056,1,364
21,Beyoglu,41.03442,28.98561,Private room,617,3,0,0.7097823980266056,3,0
22,Beyoglu,41.03638,28.9909,Private room,302,2,74,0.67,1,364
23,Beyoglu,41.03343,28.99057,Entire home/apt,212,5,33,0.3,1,0
24,Beyoglu,41.03656,28.98873,Entire home/apt,768,3,0,0.7097823980266056,1,365
25,Sisli,41.05018,28.99015,Entire home/apt,1070,2,0,0.7097823980266056,1,364
26,Beyoglu,41.03326,28.97876,Private room,206,2,86,0.77,2,365
27,Beyoglu,41.02945,28.97404,Entire home/apt,501,3,0,0.7097823980266056,1,0
28,Beyoglu,41.03082,28.98053,Private room,117,2,68,0.63,1,365
29,Besiktas,41.06341,29.0364,Private room,137,2,6,0.06,6,364
30,Beyoglu,41.03103,28.984,Entire home/apt,343,2,3,0.09,1,365
31,Fatih,41.0063,28.97916,Entire home/apt,686,3,75,0.74,14,350
32,Beyoglu,41.03277,28.98822,Entire home/apt,425,3,18,0.21,3,157
33,Beyoglu,41.03249,28.99102,Private room,206,3,171,1.56,3,157
34,Beyoglu,41.03625,28.99129,Entire home/apt,377,4,28,0.29,1,365
35,Kadikoy,40.97618,29.04442,Private room,343,1,1,0.01,1,365
36,Beyoglu,41.03398,28.97297,Entire home/apt,542,3,26,0.24,1,172
37,Kagithane,41.06496,28.95651,Entire home/apt,1028,2,0,0.7097823980266056,1,364
38,Beyoglu,41.02893,28.9779,Private room,89,20,27,0.25,7,365
39,Kadikoy,40.98242,29.05151,Private room,446,1,0,0.7097823980266056,1,365
40,Beyoglu,41.03282,28.98537,Entire home/apt,823,1,0,0.7097823980266056,1,365
41,Beyoglu,41.02543,28.97535,Entire home/apt,521,4,36,1.32,2,0
42,Kadikoy,40.98373,29.02865,Entire home/apt,343,4,8,0.07,1,362
43,Beyoglu,41.03577,28.9773,Entire home/apt,384,3,129,1.18,3,148
44,Beyoglu,41.03895,28.98387,Entire home/apt,343,15,8,0.11,4,365
45,Sisli,41.04753,28.9803,Private room,411,1,0,0.7097823980266056,1,365
46,Adalar,40.87171,29.1291,Private room,686,1,0,0.7097823980266056,1,365
47,Beyoglu,41.03767,28.98219,Private room,425,1,0,0.7097823980266056,3,365
48,Beyoglu,41.03224,28.98714,Entire home/apt,274,3,13,0.12,2,173
49,Beyoglu,41.02622,28.97488,Entire home/apt,960,6,1,0.01,1,365
50,Sariyer,41.16308,29.03753,Private room,891,3,0,0.7097823980266056,1,0
51,Beyoglu,41.03614,28.98163,Entire home/apt,686,2,36,0.35,3,362
52,Beyoglu,41.03919,28.98266,Entire home/apt,302,2,146,1.65,9,365
53,Beyoglu,41.03293,28.98853,Entire home/apt,761,2,135,1.26,3,364
54,Maltepe,40.9476,29.16943,Entire home/apt,788,3,0,0.7097823980266056,1,364
55,Uskudar,41.01694,29.06929,Entire home/apt,343,30,84,0.8,2,1
56,Beyoglu,41.0278,28.97696,Entire home/apt,1028,7,3,0.03,1,365
57,Sisli,41.07005,28.98561,Private room,206,1,0,0.7097823980266056,1,365
58,Beyoglu,41.03237,28.9869,Private room,151,2,38,0.35,2,267
59,Beyoglu,41.02842,28.9779,Private room,117,20,25,0.26,7,365
60,Beyoglu,41.02997,28.97612,Private room,89,20,26,0.26,7,364
61,Uskudar,41.0164,29.01527,Private room,185,1,0,0.7097823980266056,1,365
62,Esenyurt,41.02719,28.68328,Private room,651,1,0,0.7097823980266056,1,364
63,Beyoglu,41.0297,28.97583,Entire home/apt,411,1,99,0.93,1,178
64,Beyoglu,41.03023,28.98182,Entire home/apt,267,14,2,0.02,2,365
65,Beyoglu,41.03506,28.99193,Private room,267,3,10,0.11,1,268
66,Beykoz,41.0787,29.08596,Private room,2935,1,0,0.7097823980266056,2,365
67,Kadikoy,40.97543,29.06553,Entire home/apt,651,3,14,0.14,3,365
68,Fatih,41.019,28.92851,Private room,117,20,40,0.37,2,89
